run_file,method,world,start_offset_mm,samples,run_time_s,completion_pct,line_visible_pct,roi_mean_grey,mae_mm,rmse_mm,max_abs_mm,overshoot_mm,settling_s,mean_abs_p,mean_abs_d,d_over_p_pct,cnn_latency_mean_ms,cnn_latency_p95_ms
pd__robust_c0250_run_001,PD,robust_c0250,30.0,485,15.552,95.4,97.113,200.016,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0300_run_001,CNN+PD,robust_c0300,30.0,485,15.552,95.391,97.113,200.786,7.1043,10.0703,30.0,6.3311,14.976,0.093895,0.021022,22.389,10.7518,14.1453
p__robust_c0300_run_001,P,robust_c0300,30.0,485,15.552,95.375,97.113,200.795,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0300_run_001,PD,robust_c0300,30.0,485,15.552,95.4,97.113,200.808,7.1813,10.1694,30.0,6.226,15.008,0.092762,0.0185,19.944,,
cnnpd__robust_c0330_run_001,CNN+PD,robust_c0330,30.0,485,15.552,95.39,97.113,201.281,7.0935,10.0605,30.0,6.3484,14.944,0.094029,0.020911,22.239,10.5653,12.7871
p__robust_c0330_run_001,P,robust_c0330,30.0,485,15.552,95.375,97.113,201.292,7.0252,10.1226,30.0,6.2115,14.912,0.101204,0.0,0.0,,
pd__robust_c0330_run_001,PD,robust_c0330,30.0,485,15.552,95.4,97.113,201.311,7.1819,10.1689,30.0,6.2302,15.008,0.092775,0.018513,19.954,,
cnnpd__robust_c0360_run_001,CNN+PD,robust_c0360,30.0,485,15.552,95.389,97.113,201.799,7.086,10.0563,30.0,6.3671,14.944,0.093982,0.020903,22.242,10.3177,11.7556
p__robust_c0360_run_001,P,robust_c0360,30.0,485,15.552,95.375,97.113,201.809,7.0266,10.1207,30.0,6.2237,14.912,0.101241,0.0,0.0,,
pd__robust_c0360_run_001,PD,robust_c0360,30.0,485,15.552,95.4,97.113,201.823,7.1834,10.1671,30.0,6.2409,15.008,0.092846,0.018513,19.94,,
cnnpd__robust_c0400_run_001,CNN+PD,robust_c0400,30.0,485,15.552,95.386,97.113,202.494,7.0696,10.043,30.0,6.387,14.944,0.093967,0.020862,22.201,10.9089,12.6881
p__robust_c0400_run_001,P,robust_c0400,30.0,485,15.552,95.377,97.113,202.51,7.0394,10.122,30.0,6.2589,14.912,0.101213,0.0,0.0,,
pd__robust_c0400_run_001,PD,robust_c0400,30.0,485,15.552,95.402,97.113,202.532,7.1987,10.1706,30.0,6.2859,15.008,0.092888,0.018499,19.915,,
cnnpd__robust_c0450_run_001,CNN+PD,robust_c0450,30.0,485,15.552,95.384,97.113,203.401,7.0528,10.033,30.0,6.4066,14.912,0.093984,0.02087,22.206,10.7857,12.555
p__robust_c0450_run_001,P,robust_c0450,30.0,485,15.552,95.381,97.113,203.403,7.0822,10.1391,30.0,6.3529,14.912,0.100935,0.0,0.0,,
pd__robust_c0450_run_001,PD,robust_c0450,30.0,485,15.552,95.406,97.113,203.439,7.24,10.1864,30.0,6.3871,14.976,0.092758,0.018735,20.197,,
cnnpd__robust_c0550_run_001,CNN+PD,robust_c0550,30.0,485,15.552,95.38,97.113,205.236,7.0199,10.0087,30.0,6.4613,14.88,0.093912,0.02111,22.479,10.734,12.8464
p__robust_c0550_run_001,P,robust_c0550,30.0,485,15.552,95.389,97.113,205.225,7.2077,10.1208,30.0,7.0266,14.624,0.102498,0.0,0.0,,
pd__robust_c0550_run_001,PD,robust_c0550,30.0,485,15.552,95.416,97.113,205.24,7.379,10.1778,30.0,7.0691,14.72,0.094177,0.021925,23.281,,
cnnpd__baseline_run_001,CNN+PD,baseline,completed,-15.0,504,16.16,98.016,94.048,198.948,3.8661,4.7645,15.0,4.0812,15.104,0.079758,0.013731,17.216,10.2855,11.705
cnnpd__baseline_run_002,CNN+PD,baseline,completed,-30.0,506,16.224,98.002,94.071,198.918,5.477,8.1825,30.0,4.0647,15.168,0.084363,0.019427,23.028,10.2671,11.8328
cnnpd__baseline_run_003,CNN+PD,baseline,completed,-45.0,509,16.32,98.05,94.106,198.873,7.2202,12.1638,45.0,4.1174,15.264,0.094433,0.025386,26.882,10.3712,12.8694
cnnpd__baseline_run_004,CNN+PD,baseline,completed,0.0,503,16.128,98.098,93.837,198.951,3.3491,3.6943,6.3026,6.3026,15.04,0.075961,0.00934,12.296,10.7464,13.1396
cnnpd__baseline_run_005,CNN+PD,baseline,completed,15.0,502,16.096,98.083,94.024,198.86,5.1845,6.2833,15.0,6.3124,15.008,0.079432,0.013665,17.204,10.4201,11.9009
cnnpd__baseline_run_006,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.719,6.9819,9.9625,30.0,6.3067,15.008,0.091652,0.020113,21.945,10.0941,11.3848
cnnpd__baseline_run_007,CNN+PD,baseline,completed,45.0,502,16.096,98.06,94.024,198.477,8.8423,13.9948,45.0,6.3559,15.008,0.106991,0.02713,25.357,10.4046,11.777
p__baseline_run_001,P,baseline,line_lost,-15.0,488,15.648,95.438,97.131,197.803,3.8683,4.8156,15.0,4.0602,15.008,0.083037,0.0,0.0,,
p__baseline_run_002,P,baseline,line_lost,-30.0,490,15.712,95.419,97.143,197.773,5.478,8.3343,30.0,3.855,15.072,0.087729,0.0,0.0,,
p__baseline_run_003,P,baseline,line_lost,-45.0,493,15.808,95.46,97.16,197.71,7.2005,12.3231,45.0,3.8769,15.168,0.101116,0.0,0.0,,
p__baseline_run_004,P,baseline,line_lost,0.0,487,15.616,95.521,97.125,197.795,3.2932,3.622,6.2221,6.2221,14.944,0.079655,0.0,0.0,,
p__baseline_run_005,P,baseline,line_lost,15.0,486,15.584,95.499,97.119,197.693,5.15,6.2782,15.0,6.202,14.912,0.085389,0.0,0.0,,
p__baseline_run_006,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
p__baseline_run_007,P,baseline,line_lost,45.0,486,15.584,95.457,97.119,197.268,8.8807,14.1915,45.0,6.1644,14.944,0.118282,0.0,0.0,,
pd__baseline_run_001,PD,baseline,line_lost,-15.0,488,15.648,95.453,97.131,197.813,3.9116,4.7929,15.0,4.2108,15.104,0.080096,0.012214,15.25,,
pd__baseline_run_002,PD,baseline,line_lost,-30.0,490,15.712,95.435,97.143,197.779,5.5261,8.2349,30.0,4.1891,15.168,0.084817,0.017921,21.129,,
pd__baseline_run_003,PD,baseline,line_lost,-45.0,493,15.808,95.483,97.16,197.73,7.3404,12.3095,45.0,4.2476,15.264,0.095952,0.024642,25.682,,
pd__baseline_run_004,PD,baseline,line_lost,0.0,486,15.584,95.375,97.119,197.731,3.4397,3.7577,6.2374,6.2374,15.04,0.076603,0.007374,9.627,,
pd__baseline_run_005,PD,baseline,line_lost,15.0,486,15.584,95.519,97.119,197.709,5.3017,6.3934,15.0,6.2578,15.008,0.079787,0.011975,15.008,,
pd__baseline_run_006,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
pd__baseline_run_007,PD,baseline,line_lost,45.0,486,15.584,95.502,97.119,197.313,9.0898,14.2629,45.0,6.2852,15.008,0.108138,0.025944,23.992,,
cnnpd__robust_c0250_run_001,CNN+PD,robust_c0250,completed,30.0,499,16.0,98.115,93.788,103.218,22.2415,27.8323,50.4412,50.4412,,0.076407,0.014136,18.5,10.4232,11.7685
p__robust_c0250_run_001,P,robust_c0250,line_lost,30.0,485,15.552,95.375,97.113,103.125,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0250_run_001,PD,robust_c0250,line_lost,30.0,485,15.552,95.4,97.113,103.135,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0350_run_001,CNN+PD,robust_c0350,completed,30.0,502,16.096,98.064,93.825,120.241,11.094,14.1973,30.0,24.6757,,0.09249,0.014367,15.533,10.5021,11.9678
p__robust_c0350_run_001,P,robust_c0350,line_lost,30.0,485,15.552,95.375,97.113,119.823,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0350_run_001,PD,robust_c0350,line_lost,30.0,485,15.552,95.4,97.113,119.835,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0450_run_001,CNN+PD,robust_c0450,completed,30.0,502,16.096,98.101,93.825,137.174,8.6234,11.0451,30.0,12.6415,,0.092545,0.015229,16.456,10.673,13.6631
p__robust_c0450_run_001,P,robust_c0450,line_lost,30.0,485,15.552,95.375,97.113,136.499,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0450_run_001,PD,robust_c0450,line_lost,30.0,485,15.552,95.4,97.113,136.513,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0700_run_001,CNN+PD,robust_c0700,completed,30.0,502,16.096,98.11,93.825,172.512,6.9,9.9208,30.0,6.1087,15.104,0.094139,0.019275,20.475,10.2571,11.576
p__robust_c0700_run_001,P,robust_c0700,line_lost,30.0,485,15.552,95.375,97.113,171.444,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0700_run_001,PD,robust_c0700,line_lost,30.0,485,15.552,95.4,97.113,171.461,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c1000_run_001,CNN+PD,robust_c1000,completed,30.0,502,16.096,98.121,93.825,198.719,6.9819,9.9625,30.0,6.3067,15.008,0.091652,0.020113,21.945,10.3778,11.8731
p__robust_c1000_run_001,P,robust_c1000,line_lost,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c1000_run_001,PD,robust_c1000,line_lost,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c1800_run_001,CNN+PD,robust_c1800,completed,30.0,502,16.096,98.127,93.825,217.466,7.0342,9.9893,30.0,6.4811,14.944,0.090802,0.020337,22.397,10.6225,12.0131
p__robust_c1800_run_001,P,robust_c1800,line_lost,30.0,485,15.552,95.375,97.113,216.128,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c1800_run_001,PD,robust_c1800,line_lost,30.0,485,15.552,95.4,97.113,216.148,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c2400_run_001,CNN+PD,robust_c2400,completed,30.0,502,16.096,98.124,93.825,218.346,7.01,9.97,30.0,6.4665,14.944,0.090938,0.020264,22.283,10.2277,11.5361
p__robust_c2400_run_001,P,robust_c2400,line_lost,30.0,485,15.552,95.375,97.113,217.05,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c2400_run_001,PD,robust_c2400,line_lost,30.0,485,15.552,95.4,97.113,217.068,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c2800_run_001,CNN+PD,robust_c2800,completed,30.0,502,16.096,98.122,93.825,218.877,6.9958,9.959,30.0,6.473,14.944,0.090985,0.020358,22.375,10.3809,11.9949
p__robust_c2800_run_001,P,robust_c2800,line_lost,30.0,485,15.552,95.375,97.113,217.607,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c2800_run_001,PD,robust_c2800,line_lost,30.0,485,15.552,95.4,97.113,217.624,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c3400_run_001,CNN+PD,robust_c3400,completed,30.0,502,16.096,98.12,93.825,219.613,6.9766,9.9464,30.0,6.4861,14.944,0.091028,0.020133,22.117,10.1437,11.4742
p__robust_c3400_run_001,P,robust_c3400,line_lost,30.0,485,15.552,95.375,97.113,218.375,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c3400_run_001,PD,robust_c3400,line_lost,30.0,485,15.552,95.4,97.113,218.39,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c00030_run_001,CNN+PD,robust_c00030,off_track,30.0,218,7.008,41.951,57.798,84.604,40.64,52.7856,120.1625,120.1625,,0.093586,0.013501,14.426,10.3575,12.0038
p__robust_c00030_run_001,P,robust_c00030,line_lost,30.0,485,15.552,95.375,97.113,78.486,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c00030_run_001,PD,robust_c00030,line_lost,30.0,485,15.552,95.4,97.113,78.495,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c00050_run_001,CNN+PD,robust_c00050,off_track,30.0,220,7.072,42.306,58.182,85.55,40.8304,53.0102,120.2016,120.2016,,0.091371,0.013828,15.134,10.6088,12.0304
p__robust_c00050_run_001,P,robust_c00050,line_lost,30.0,485,15.552,95.375,97.113,79.408,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c00050_run_001,PD,robust_c00050,line_lost,30.0,485,15.552,95.4,97.113,79.417,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c00070_run_001,CNN+PD,robust_c00070,off_track,30.0,225,7.232,43.185,58.222,87.391,41.3464,53.6048,120.4597,120.4597,,0.086213,0.013832,16.044,10.3279,12.4063
p__robust_c00070_run_001,P,robust_c00070,line_lost,30.0,485,15.552,95.375,97.113,81.144,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c00070_run_001,PD,robust_c00070,line_lost,30.0,485,15.552,95.4,97.113,81.153,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c00100_run_001,CNN+PD,robust_c00100,off_track,30.0,231,7.424,44.229,58.874,89.266,42.0092,54.3437,120.896,120.896,,0.080334,0.013862,17.255,10.5766,14.1696
p__robust_c00100_run_001,P,robust_c00100,line_lost,30.0,485,15.552,95.375,97.113,82.931,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c00100_run_001,PD,robust_c00100,line_lost,30.0,485,15.552,95.4,97.113,82.94,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c00300_run_001,CNN+PD,robust_c00300,completed,30.0,501,16.064,98.069,93.812,111.71,15.679,19.8411,35.7552,35.7552,,0.08783,0.013801,15.714,10.6738,12.774
p__robust_c00300_run_001,P,robust_c00300,line_lost,30.0,485,15.552,95.375,97.113,111.48,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c00300_run_001,PD,robust_c00300,line_lost,30.0,485,15.552,95.4,97.113,111.491,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c01000_run_001,CNN+PD,robust_c01000,completed,30.0,502,16.096,98.121,93.825,198.719,6.9819,9.9625,30.0,6.3067,15.008,0.091652,0.020113,21.945,12.2858,19.3639
p__robust_c01000_run_001,P,robust_c01000,line_lost,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c01000_run_001,PD,robust_c01000,line_lost,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c03000_run_001,CNN+PD,robust_c03000,completed,30.0,502,16.096,98.122,93.825,219.135,6.9884,9.9545,30.0,6.4721,14.944,0.09103,0.020371,22.378,10.6191,12.0232
p__robust_c03000_run_001,P,robust_c03000,line_lost,30.0,485,15.552,95.375,97.113,217.876,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c03000_run_001,PD,robust_c03000,line_lost,30.0,485,15.552,95.4,97.113,217.893,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c08000_run_001,CNN+PD,robust_c08000,completed,30.0,502,16.096,98.106,93.825,224.084,6.8584,9.8736,30.0,6.5428,14.912,0.091151,0.020146,22.101,10.1713,11.576
p__robust_c08000_run_001,P,robust_c08000,line_lost,30.0,485,15.552,95.381,97.113,223.019,7.0829,10.1516,30.0,6.3455,14.944,0.099759,0.0,0.0,,
pd__robust_c08000_run_001,PD,robust_c08000,line_lost,30.0,485,15.552,95.408,97.113,223.037,7.2536,10.2214,30.0,6.2768,15.008,0.092202,0.023037,24.985,,
cnnpd__robust_c12000_run_001,CNN+PD,robust_c12000,completed,30.0,502,16.096,98.099,92.43,227.114,6.7928,9.8471,30.0,6.4656,14.944,0.09076,0.020278,22.342,10.474,12.1963
p__robust_c12000_run_001,P,robust_c12000,line_lost,30.0,478,15.328,94.208,97.071,225.796,6.6588,10.3462,30.0,3.9362,,0.10108,0.0,0.0,,
pd__robust_c12000_run_001,PD,robust_c12000,line_lost,30.0,478,15.328,94.232,97.071,225.802,6.8216,10.3997,30.0,4.0396,,0.092476,0.026293,28.432,,
cnnpd__robust_c16000_run_001,CNN+PD,robust_c16000,completed,30.0,502,16.096,98.102,0.0,229.717,6.8309,9.8741,30.0,6.5363,14.912,0.089903,0.020422,22.715,10.3278,11.516
p__robust_c16000_run_001,P,robust_c16000,line_lost,30.0,31,1.024,8.646,0.0,226.892,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
pd__robust_c16000_run_001,PD,robust_c16000,line_lost,30.0,31,1.024,8.646,0.0,226.892,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
cnnpd__robust_c22000_run_001,CNN+PD,robust_c22000,completed,30.0,502,16.096,98.118,0.0,233.08,6.958,9.9626,30.0,6.8884,14.848,0.08916,0.02087,23.408,10.2392,11.3981
p__robust_c22000_run_001,P,robust_c22000,line_lost,30.0,31,1.024,8.646,0.0,230.669,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
pd__robust_c22000_run_001,PD,robust_c22000,line_lost,30.0,31,1.024,8.646,0.0,230.669,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
cnnpd__robust_c30000_run_001,CNN+PD,robust_c30000,completed,30.0,502,16.096,98.122,0.0,236.827,6.9867,10.0207,30.0,6.8047,15.104,0.089024,0.022388,25.148,10.8014,12.7273
p__robust_c30000_run_001,P,robust_c30000,line_lost,30.0,31,1.024,8.646,0.0,234.883,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
pd__robust_c30000_run_001,PD,robust_c30000,line_lost,30.0,31,1.024,8.646,0.0,234.883,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
pd__robust_c30000_run_002,PD,robust_c30000,line_lost,30.0,31,1.024,8.646,0.0,234.883,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
pd__robust_c30000_run_003,PD,robust_c30000,line_lost,30.0,31,1.024,8.646,0.0,234.883,30.0,30.0,30.0,0.0,,0.0,0.0,0.0,,
pd__baseline_run_008,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.494,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.0185,19.944,,
p__baseline_run_008,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.47,7.0246,10.1232,30.0,6.2061,14.912,0.101166,0.0,0.0,,
cnnpd__baseline_run_009,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.715,6.9814,9.9625,30.0,6.3046,15.008,0.09165,0.020108,21.94,10.1886,11.4814
cnnpd__baseline_run_010,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.715,6.9814,9.9625,30.0,6.3046,15.008,0.09165,0.020108,21.94,10.407,11.745
p__baseline_run_009,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.471,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_009,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.494,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.0185,19.944,,
pd__baseline_run_010,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.499,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.018501,19.944,,
pd__baseline_run_011,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.499,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.018501,19.944,,
p__baseline_run_010,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.47,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
cnnpd__baseline_run_011,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.714,6.9818,9.9624,30.0,6.3047,15.008,0.09164,0.020094,21.927,10.2575,11.5512
cnnpd__baseline_run_013,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.716,6.982,9.9624,30.0,6.3035,15.008,0.091635,0.020104,21.939,10.2773,11.5676
cnnpd__baseline_run_014,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.716,6.982,9.9624,30.0,6.3035,15.008,0.091635,0.020104,21.939,10.0451,11.1809
p__baseline_run_011,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.469,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_012,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.495,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.0185,19.944,,
pd__baseline_run_015,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.0185,19.944,,
p__baseline_run_012,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.472,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
cnnpd__baseline_run_015,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.714,6.9817,9.9625,30.0,6.3048,15.008,0.091647,0.020115,21.948,10.342,11.9426
p__baseline_run_013,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_016,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.497,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.0185,19.944,,
cnnpd__baseline_run_017,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.716,6.9818,9.9625,30.0,6.3044,15.008,0.091642,0.020104,21.937,11.2277,12.9414
cnnpd__baseline_run_018,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.716,6.9827,9.9634,30.0,6.3057,15.008,0.091638,0.020095,21.929,10.6246,12.1483
cnnpd__baseline_run_019,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.716,6.9827,9.9634,30.0,6.3057,15.008,0.091638,0.020095,21.929,10.9811,13.505
p__baseline_run_014,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.475,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_017,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.499,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.018501,19.944,,
pd__baseline_run_020,PD,baseline,line_lost,30.0,485,15.552,95.4,97.113,197.497,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
p__baseline_run_015,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
cnnpd__baseline_run_021,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.72,6.9817,9.9621,30.0,6.3054,15.008,0.091644,0.020097,21.93,10.2328,12.4806
cnnpd__baseline_run_023,CNN+PD,baseline,completed,30.0,502,16.096,98.121,93.825,198.72,6.9815,9.9621,30.0,6.3069,15.008,0.091648,0.020117,21.95,9.7397,10.5543
p__baseline_run_016,P,baseline,line_lost,30.0,485,15.552,95.375,97.113,197.47,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
p__baseline_run_017,P,baseline,completed,30.0,511,16.384,99.534,92.172,199.331,6.6838,9.8627,30.0,6.2061,14.912,0.096777,0.0,0.0,,
pd__baseline_run_021,PD,baseline,completed,30.0,511,16.384,99.558,92.172,199.353,6.8356,9.9078,30.0,6.2259,15.008,0.08866,0.01756,19.806,,
cnnpd__baseline_run_024,CNN+PD,baseline,completed,30.0,511,16.384,99.561,92.172,199.341,6.8698,9.8746,30.0,6.3052,15.008,0.090425,0.019764,21.857,10.7518,12.3413
