run_file,method,world,start_offset_mm,samples,run_time_s,completion_pct,line_visible_pct,roi_mean_grey,mae_mm,rmse_mm,max_abs_mm,overshoot_mm,settling_s,mean_abs_p,mean_abs_d,d_over_p_pct,cnn_latency_mean_ms,cnn_latency_p95_ms
p__baseline_run_003,P,baseline,0.0,487,15.616,95.521,97.125,197.795,3.2932,3.622,6.2221,6.2221,14.944,0.079655,0.0,0.0,,
p__baseline_run_004,P,baseline,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_003,PD,baseline,0.0,486,15.584,95.375,97.119,197.731,3.4397,3.7577,6.2374,6.2374,15.04,0.076603,0.007374,9.627,,
pd__baseline_run_004,PD,baseline,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0010_run_002,CNN+PD,robust_c0010,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,12.9142,15.5008
p__robust_c0010_run_002,P,robust_c0010,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0010_run_002,PD,robust_c0010,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0015_run_002,CNN+PD,robust_c0015,30.0,485,15.552,95.401,97.113,197.517,7.1918,10.1332,30.0,6.3088,15.008,0.093552,0.020912,22.353,12.5521,15.0298
p__robust_c0015_run_002,P,robust_c0015,30.0,485,15.552,95.375,97.113,197.505,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0015_run_002,PD,robust_c0015,30.0,485,15.552,95.4,97.113,197.525,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0020_run_002,CNN+PD,robust_c0020,30.0,485,15.552,95.401,97.113,197.544,7.1919,10.1336,30.0,6.3082,15.008,0.09354,0.020892,22.335,14.1407,20.5231
p__robust_c0020_run_002,P,robust_c0020,30.0,485,15.552,95.375,97.113,197.536,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0020_run_002,PD,robust_c0020,30.0,485,15.552,95.4,97.113,197.556,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0025_run_002,CNN+PD,robust_c0025,30.0,485,15.552,95.401,97.113,197.562,7.191,10.1323,30.0,6.3118,15.008,0.093549,0.020896,22.337,12.408,14.8655
p__robust_c0025_run_002,P,robust_c0025,30.0,485,15.552,95.375,97.113,197.557,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0025_run_002,PD,robust_c0025,30.0,485,15.552,95.4,97.113,197.577,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0030_run_002,CNN+PD,robust_c0030,30.0,485,15.552,95.401,97.113,197.599,7.188,10.1313,30.0,6.3062,15.008,0.093549,0.020855,22.294,12.6126,14.9308
p__robust_c0030_run_002,P,robust_c0030,30.0,485,15.552,95.375,97.113,197.587,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0030_run_002,PD,robust_c0030,30.0,485,15.552,95.4,97.113,197.607,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0035_run_002,CNN+PD,robust_c0035,30.0,485,15.552,95.401,97.113,197.622,7.1876,10.131,30.0,6.3074,15.008,0.093546,0.020862,22.301,12.5665,14.9398
p__robust_c0035_run_002,P,robust_c0035,30.0,485,15.552,95.375,97.113,197.614,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0035_run_002,PD,robust_c0035,30.0,485,15.552,95.4,97.113,197.634,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0040_run_002,CNN+PD,robust_c0040,30.0,485,15.552,95.401,97.113,197.645,7.1876,10.1308,30.0,6.3087,15.008,0.093556,0.020841,22.277,12.7671,15.1407
p__robust_c0040_run_002,P,robust_c0040,30.0,485,15.552,95.375,97.113,197.641,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0040_run_002,PD,robust_c0040,30.0,485,15.552,95.4,97.113,197.661,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0050_run_002,CNN+PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.715,7.1847,10.1296,30.0,6.3027,15.008,0.093564,0.020924,22.364,15.109,22.7549
p__robust_c0050_run_002,P,robust_c0050,30.0,485,15.552,95.375,97.113,197.703,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0050_run_002,PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.723,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__baseline_run_009,CNN+PD,baseline,0.0,486,15.584,95.378,97.119,197.725,3.431,3.7534,6.3026,6.3026,15.04,0.077299,0.009824,12.709,12.6475,15.0571
cnnpd__baseline_run_010,CNN+PD,baseline,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,12.862,15.6465
p__baseline_run_005,P,baseline,0.0,487,15.616,95.521,97.125,197.795,3.2932,3.622,6.2221,6.2221,14.944,0.079655,0.0,0.0,,
p__baseline_run_006,P,baseline,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_005,PD,baseline,0.0,486,15.584,95.375,97.119,197.731,3.4397,3.7577,6.2374,6.2374,15.04,0.076603,0.007374,9.627,,
pd__baseline_run_006,PD,baseline,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0010_run_003,CNN+PD,robust_c0010,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,15.8531,22.8111
p__robust_c0010_run_003,P,robust_c0010,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0010_run_003,PD,robust_c0010,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0015_run_003,CNN+PD,robust_c0015,30.0,485,15.552,95.401,97.113,197.517,7.1918,10.1332,30.0,6.3088,15.008,0.093552,0.020912,22.353,12.3941,14.5825
p__robust_c0015_run_003,P,robust_c0015,30.0,485,15.552,95.375,97.113,197.505,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0015_run_003,PD,robust_c0015,30.0,485,15.552,95.4,97.113,197.525,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0020_run_003,CNN+PD,robust_c0020,30.0,485,15.552,95.401,97.113,197.544,7.1919,10.1336,30.0,6.3082,15.008,0.09354,0.020892,22.335,13.1151,15.8297
p__robust_c0020_run_003,P,robust_c0020,30.0,485,15.552,95.375,97.113,197.536,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0020_run_003,PD,robust_c0020,30.0,485,15.552,95.4,97.113,197.556,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0025_run_003,CNN+PD,robust_c0025,30.0,485,15.552,95.401,97.113,197.562,7.191,10.1323,30.0,6.3118,15.008,0.093549,0.020896,22.337,12.5836,14.8325
p__robust_c0025_run_003,P,robust_c0025,30.0,485,15.552,95.375,97.113,197.557,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0025_run_003,PD,robust_c0025,30.0,485,15.552,95.4,97.113,197.577,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0030_run_003,CNN+PD,robust_c0030,30.0,485,15.552,95.401,97.113,197.599,7.188,10.1313,30.0,6.3062,15.008,0.093549,0.020855,22.294,13.0495,16.3677
p__robust_c0030_run_003,P,robust_c0030,30.0,485,15.552,95.375,97.113,197.587,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0030_run_003,PD,robust_c0030,30.0,485,15.552,95.4,97.113,197.607,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0035_run_003,CNN+PD,robust_c0035,30.0,485,15.552,95.401,97.113,197.622,7.1876,10.131,30.0,6.3074,15.008,0.093546,0.020862,22.301,13.0652,15.5184
p__robust_c0035_run_003,P,robust_c0035,30.0,485,15.552,95.375,97.113,197.614,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0035_run_003,PD,robust_c0035,30.0,485,15.552,95.4,97.113,197.634,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0040_run_003,CNN+PD,robust_c0040,30.0,485,15.552,95.401,97.113,197.645,7.1876,10.1308,30.0,6.3087,15.008,0.093556,0.020841,22.277,13.1151,16.2447
p__robust_c0040_run_003,P,robust_c0040,30.0,485,15.552,95.375,97.113,197.641,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0040_run_003,PD,robust_c0040,30.0,485,15.552,95.4,97.113,197.661,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0050_run_003,CNN+PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.715,7.1847,10.1296,30.0,6.3027,15.008,0.093564,0.020924,22.364,12.869,14.9786
p__robust_c0050_run_003,P,robust_c0050,30.0,485,15.552,95.375,97.113,197.703,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0050_run_003,PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.723,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__baseline_run_011,CNN+PD,baseline,30.0,485,15.552,95.401,97.113,197.478,7.1913,10.1336,30.0,6.3038,15.008,0.093542,0.02093,22.375,11.4639,13.299
p__baseline_run_007,P,baseline,30.0,485,15.552,95.375,97.113,197.468,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_007,PD,baseline,30.0,485,15.552,95.4,97.113,197.492,7.1813,10.1694,30.0,6.2259,15.008,0.092761,0.0185,19.944,,
pd__robust_c0050_run_004,PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.723,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
